par_name,par_true,par_hat,iter,seed,type,AIC,species
gamma_j,-1.6722477746567348,-0.3287270771704529,1,16441,1-000,5271.479776315788,capelin
gamma_j,-1.6722477746567348,0.035718414864184284,1,16441,1-000,5271.479776315788,capelin
beta_k,-3.907675738449672,-3.798303862830287,1,16441,1-000,5271.479776315788,capelin
ln_tauO,2.495122826058058,2.5094578116098525,1,16441,1-000,5271.479776315788,capelin
ln_tauE,2.4760094040671055,2.394573028052626,1,16441,1-000,5271.479776315788,capelin
ln_kappa,-4.481140234499602,-4.4979647532203835,1,16441,1-000,5271.479776315788,capelin
ln_phi,-0.2822198315577172,-0.37788274943622857,1,16441,1-000,5271.479776315788,capelin
logit_rhoE,-1.508357337467413,-1.5258799416420268,1,16441,1-000,5271.479776315788,capelin
finv_power,-0.0661746743852703,-0.11505961092285728,1,16441,1-000,5271.479776315788,capelin
log_kappaS,-3.875531477279689,-2.3505507158915697,1,16441,1-100,5273.330010712227,capelin
gamma_j,-1.6722477746567348,-0.3599544955439278,1,16441,1-100,5273.330010712227,capelin
gamma_j,-1.6722477746567348,0.03667686256328336,1,16441,1-100,5273.330010712227,capelin
beta_k,-3.907675738449672,-3.8006865030163723,1,16441,1-100,5273.330010712227,capelin
ln_tauO,2.495122826058058,2.5094206341542185,1,16441,1-100,5273.330010712227,capelin
ln_tauE,2.4760094040671055,2.3925066466689615,1,16441,1-100,5273.330010712227,capelin
ln_kappa,-4.481140234499602,-4.496235147435187,1,16441,1-100,5273.330010712227,capelin
ln_phi,-0.2822198315577172,-0.378434013067915,1,16441,1-100,5273.330010712227,capelin
logit_rhoE,-1.508357337467413,-1.5409646469253093,1,16441,1-100,5273.330010712227,capelin
finv_power,-0.0661746743852703,-0.11523520958674183,1,16441,1-100,5273.330010712227,capelin
kappaT,2.312335730956876,1.4502013370189795,1,16441,1-010,5259.870322179966,capelin
gamma_j,-1.6722477746567348,-0.8532037558539195,1,16441,1-010,5259.870322179966,capelin
gamma_j,-1.6722477746567348,0.07479670696421978,1,16441,1-010,5259.870322179966,capelin
beta_k,-3.907675738449672,-3.8042067823477383,1,16441,1-010,5259.870322179966,capelin
ln_tauO,2.495122826058058,2.494166334597297,1,16441,1-010,5259.870322179966,capelin
ln_tauE,2.4760094040671055,2.3754278762344176,1,16441,1-010,5259.870322179966,capelin
ln_kappa,-4.481140234499602,-4.464672328063115,1,16441,1-010,5259.870322179966,capelin
ln_phi,-0.2822198315577172,-0.37972154103087485,1,16441,1-010,5259.870322179966,capelin
logit_rhoE,-1.508357337467413,-1.660869160647645,1,16441,1-010,5259.870322179966,capelin
finv_power,-0.0661746743852703,-0.11567748363920412,1,16441,1-010,5259.870322179966,capelin
log_kappaS,-3.875531477279689,-3.733359325138827,1,16441,1-110,5256.185536709818,capelin
kappaT,2.312335730956876,2.5866215785097157,1,16441,1-110,5256.185536709818,capelin
gamma_j,-1.6722477746567348,-1.5008087743537912,1,16441,1-110,5256.185536709818,capelin
gamma_j,-1.6722477746567348,0.18294843405259376,1,16441,1-110,5256.185536709818,capelin
beta_k,-3.907675738449672,-3.8616701267192886,1,16441,1-110,5256.185536709818,capelin
ln_tauO,2.495122826058058,2.494944202391176,1,16441,1-110,5256.185536709818,capelin
ln_tauE,2.4760094040671055,2.3686714713467967,1,16441,1-110,5256.185536709818,capelin
ln_kappa,-4.481140234499602,-4.4558905101876105,1,16441,1-110,5256.185536709818,capelin
ln_phi,-0.2822198315577172,-0.3819519459497564,1,16441,1-110,5256.185536709818,capelin
logit_rhoE,-1.508357337467413,-1.7400151443899265,1,16441,1-110,5256.185536709818,capelin
finv_power,-0.0661746743852703,-0.11659270828345138,1,16441,1-110,5256.185536709818,capelin
gamma_j,-1.6722477746567348,-0.3930398664687727,2,80057,1-000,3221.5695326610476,capelin
gamma_j,-1.6722477746567348,-0.03702377350710517,2,80057,1-000,3221.5695326610476,capelin
beta_k,-3.907675738449672,-5.05341694889268,2,80057,1-000,3221.5695326610476,capelin
ln_tauO,2.495122826058058,2.4928438077965684,2,80057,1-000,3221.5695326610476,capelin
ln_tauE,2.4760094040671055,2.3323709885474244,2,80057,1-000,3221.5695326610476,capelin
ln_kappa,-4.481140234499602,-4.366028764739559,2,80057,1-000,3221.5695326610476,capelin
ln_phi,-0.2822198315577172,-0.27829579102212804,2,80057,1-000,3221.5695326610476,capelin
logit_rhoE,-1.508357337467413,-1.427209163612182,2,80057,1-000,3221.5695326610476,capelin
finv_power,-0.0661746743852703,-0.0753854046053729,2,80057,1-000,3221.5695326610476,capelin
log_kappaS,-3.875531477279689,-3.8286020781224406,2,80057,1-100,3218.9325368728496,capelin
gamma_j,-1.6722477746567348,-0.590614745172466,2,80057,1-100,3218.9325368728496,capelin
gamma_j,-1.6722477746567348,-0.088027449567021,2,80057,1-100,3218.9325368728496,capelin
beta_k,-3.907675738449672,-5.022752641581337,2,80057,1-100,3218.9325368728496,capelin
ln_tauO,2.495122826058058,2.481593800554151,2,80057,1-100,3218.9325368728496,capelin
ln_tauE,2.4760094040671055,2.3165837073994604,2,80057,1-100,3218.9325368728496,capelin
ln_kappa,-4.481140234499602,-4.351603471153085,2,80057,1-100,3218.9325368728496,capelin
ln_phi,-0.2822198315577172,-0.28340760387699065,2,80057,1-100,3218.9325368728496,capelin
logit_rhoE,-1.508357337467413,-1.5650893107226624,2,80057,1-100,3218.9325368728496,capelin
finv_power,-0.0661746743852703,-0.07701083398263375,2,80057,1-100,3218.9325368728496,capelin
kappaT,2.312335730956876,2.8437368037940027,2,80057,1-010,3174.0439623842612,capelin
gamma_j,-1.6722477746567348,-1.8359832390545756,2,80057,1-010,3174.0439623842612,capelin
gamma_j,-1.6722477746567348,-0.4782525385509128,2,80057,1-010,3174.0439623842612,capelin
beta_k,-3.907675738449672,-5.031070542140486,2,80057,1-010,3174.0439623842612,capelin
ln_tauO,2.495122826058058,2.427288551932704,2,80057,1-010,3174.0439623842612,capelin
ln_tauE,2.4760094040671055,2.261801079870147,2,80057,1-010,3174.0439623842612,capelin
ln_kappa,-4.481140234499602,-4.254921644048392,2,80057,1-010,3174.0439623842612,capelin
ln_phi,-0.2822198315577172,-0.2887677694524325,2,80057,1-010,3174.0439623842612,capelin
logit_rhoE,-1.508357337467413,-2.1053314561764185,2,80057,1-010,3174.0439623842612,capelin
finv_power,-0.0661746743852703,-0.07931964052410614,2,80057,1-010,3174.0439623842612,capelin
log_kappaS,-3.875531477279689,-4.100725702641309,2,80057,1-110,3169.571182882253,capelin
kappaT,2.312335730956876,3.1152166615635175,2,80057,1-110,3169.571182882253,capelin
gamma_j,-1.6722477746567348,-2.3737582998866222,2,80057,1-110,3169.571182882253,capelin
gamma_j,-1.6722477746567348,-0.47172857455044975,2,80057,1-110,3169.571182882253,capelin
beta_k,-3.907675738449672,-5.1195459801769125,2,80057,1-110,3169.571182882253,capelin
ln_tauO,2.495122826058058,2.4210807902145253,2,80057,1-110,3169.571182882253,capelin
ln_tauE,2.4760094040671055,2.241257793810656,2,80057,1-110,3169.571182882253,capelin
ln_kappa,-4.481140234499602,-4.240191700025783,2,80057,1-110,3169.571182882253,capelin
ln_phi,-0.2822198315577172,-0.294973146917342,2,80057,1-110,3169.571182882253,capelin
logit_rhoE,-1.508357337467413,-2.2489292857013643,2,80057,1-110,3169.571182882253,capelin
finv_power,-0.0661746743852703,-0.08062760039262244,2,80057,1-110,3169.571182882253,capelin
gamma_j,-1.6722477746567348,-0.3770665111728232,3,67359,1-000,4852.536722339308,capelin
gamma_j,-1.6722477746567348,-0.01528600869036499,3,67359,1-000,4852.536722339308,capelin
beta_k,-3.907675738449672,-4.144829195631689,3,67359,1-000,4852.536722339308,capelin
ln_tauO,2.495122826058058,2.467785475721745,3,67359,1-000,4852.536722339308,capelin
ln_tauE,2.4760094040671055,2.325760219817991,3,67359,1-000,4852.536722339308,capelin
ln_kappa,-4.481140234499602,-4.405092622113734,3,67359,1-000,4852.536722339308,capelin
ln_phi,-0.2822198315577172,-0.26287410741999456,3,67359,1-000,4852.536722339308,capelin
logit_rhoE,-1.508357337467413,-1.2279831841730142,3,67359,1-000,4852.536722339308,capelin
finv_power,-0.0661746743852703,-0.04984662606706603,3,67359,1-000,4852.536722339308,capelin
log_kappaS,-3.875531477279689,-3.7538432923187166,3,67359,1-100,4848.711568893032,capelin
gamma_j,-1.6722477746567348,-0.5985215836443679,3,67359,1-100,4848.711568893032,capelin
gamma_j,-1.6722477746567348,-0.05595721825547904,3,67359,1-100,4848.711568893032,capelin
beta_k,-3.907675738449672,-4.111056449419824,3,67359,1-100,4848.711568893032,capelin
ln_tauO,2.495122826058058,2.4674228633224056,3,67359,1-100,4848.711568893032,capelin
ln_tauE,2.4760094040671055,2.324788938884992,3,67359,1-100,4848.711568893032,capelin
ln_kappa,-4.481140234499602,-4.4029930278822995,3,67359,1-100,4848.711568893032,capelin
ln_phi,-0.2822198315577172,-0.2639467398233814,3,67359,1-100,4848.711568893032,capelin
logit_rhoE,-1.508357337467413,-1.2737292390626431,3,67359,1-100,4848.711568893032,capelin
finv_power,-0.0661746743852703,-0.05025912818813748,3,67359,1-100,4848.711568893032,capelin
kappaT,2.312335730956876,1.9240549817539754,3,67359,1-010,4831.176259528733,capelin
gamma_j,-1.6722477746567348,-1.1684626741603723,3,67359,1-010,4831.176259528733,capelin
gamma_j,-1.6722477746567348,-0.3024513065303189,3,67359,1-010,4831.176259528733,capelin
beta_k,-3.907675738449672,-4.067681685749946,3,67359,1-010,4831.176259528733,capelin
ln_tauO,2.495122826058058,2.4557289767499344,3,67359,1-010,4831.176259528733,capelin
ln_tauE,2.4760094040671055,2.2996214869339866,3,67359,1-010,4831.176259528733,capelin
ln_kappa,-4.481140234499602,-4.361126499320072,3,67359,1-010,4831.176259528733,capelin
ln_phi,-0.2822198315577172,-0.2677419122696394,3,67359,1-010,4831.176259528733,capelin
logit_rhoE,-1.508357337467413,-1.3461611729710328,3,67359,1-010,4831.176259528733,capelin
finv_power,-0.0661746743852703,-0.052050849343807826,3,67359,1-010,4831.176259528733,capelin
