par_name,par_true,par_hat,iter,seed,type,AIC,species
gamma_j,-1.6722477746567348,-0.312253999600502,1,87482,1-000,5384.803524967025,capelin
gamma_j,-1.6722477746567348,0.00875180385343523,1,87482,1-000,5384.803524967025,capelin
beta_k,-3.907675738449672,-4.019671172780854,1,87482,1-000,5384.803524967025,capelin
ln_tauO,2.495122826058058,2.505459606145108,1,87482,1-000,5384.803524967025,capelin
ln_tauE,2.4760094040671055,2.3885826636855074,1,87482,1-000,5384.803524967025,capelin
ln_kappa,-4.481140234499602,-4.435704242720756,1,87482,1-000,5384.803524967025,capelin
ln_phi,-0.2822198315577172,-0.3525898778878564,1,87482,1-000,5384.803524967025,capelin
logit_rhoE,-1.508357337467413,-1.381179878701295,1,87482,1-000,5384.803524967025,capelin
finv_power,-0.0661746743852703,-0.09145973201949212,1,87482,1-000,5384.803524967025,capelin
log_kappaS,-3.875531477279689,-4.111923233838955,1,87482,1-100,5374.70684523007,capelin
gamma_j,-1.6722477746567348,-0.6067237844827311,1,87482,1-100,5374.70684523007,capelin
gamma_j,-1.6722477746567348,0.07169402861588853,1,87482,1-100,5374.70684523007,capelin
beta_k,-3.907675738449672,-4.091754500728271,1,87482,1-100,5374.70684523007,capelin
ln_tauO,2.495122826058058,2.5013466193687246,1,87482,1-100,5374.70684523007,capelin
ln_tauE,2.4760094040671055,2.3806255782731407,1,87482,1-100,5374.70684523007,capelin
ln_kappa,-4.481140234499602,-4.422614655686234,1,87482,1-100,5374.70684523007,capelin
ln_phi,-0.2822198315577172,-0.3570865089877534,1,87482,1-100,5374.70684523007,capelin
logit_rhoE,-1.508357337467413,-1.437270677900494,1,87482,1-100,5374.70684523007,capelin
finv_power,-0.0661746743852703,-0.0935194587244338,1,87482,1-100,5374.70684523007,capelin
kappaT,2.312335730956876,1.1867485261715076,1,87482,1-010,5371.49262466592,capelin
gamma_j,-1.6722477746567348,-0.7866272394777107,1,87482,1-010,5371.49262466592,capelin
gamma_j,-1.6722477746567348,-0.08974804151579521,1,87482,1-010,5371.49262466592,capelin
beta_k,-3.907675738449672,-3.9753745954887934,1,87482,1-010,5371.49262466592,capelin
ln_tauO,2.495122826058058,2.4927223827039007,1,87482,1-010,5371.49262466592,capelin
ln_tauE,2.4760094040671055,2.371955187182419,1,87482,1-010,5371.49262466592,capelin
ln_kappa,-4.481140234499602,-4.411980796771239,1,87482,1-010,5371.49262466592,capelin
ln_phi,-0.2822198315577172,-0.3573816137591812,1,87482,1-010,5371.49262466592,capelin
logit_rhoE,-1.508357337467413,-1.5005709807491303,1,87482,1-010,5371.49262466592,capelin
finv_power,-0.0661746743852703,-0.09315784194094442,1,87482,1-010,5371.49262466592,capelin
log_kappaS,-3.875531477279689,-4.386986175523636,1,87482,1-110,5364.368742790644,capelin
kappaT,2.312335730956876,1.1703145886547757,1,87482,1-110,5364.368742790644,capelin
gamma_j,-1.6722477746567348,-1.2549044420417474,1,87482,1-110,5364.368742790644,capelin
gamma_j,-1.6722477746567348,0.19444321032856232,1,87482,1-110,5364.368742790644,capelin
beta_k,-3.907675738449672,-4.12416534643588,1,87482,1-110,5364.368742790644,capelin
ln_tauO,2.495122826058058,2.490220942851466,1,87482,1-110,5364.368742790644,capelin
ln_tauE,2.4760094040671055,2.36247029600394,1,87482,1-110,5364.368742790644,capelin
ln_kappa,-4.481140234499602,-4.396384295350716,1,87482,1-110,5364.368742790644,capelin
ln_phi,-0.2822198315577172,-0.36027158851349955,1,87482,1-110,5364.368742790644,capelin
logit_rhoE,-1.508357337467413,-1.5206630924267552,1,87482,1-110,5364.368742790644,capelin
finv_power,-0.0661746743852703,-0.09449357320634184,1,87482,1-110,5364.368742790644,capelin
gamma_j,-1.6722477746567348,-0.33804641133483565,2,75930,1-000,8190.257931478765,capelin
gamma_j,-1.6722477746567348,-0.017600833723862085,2,75930,1-000,8190.257931478765,capelin
beta_k,-3.907675738449672,-2.8734102053872865,2,75930,1-000,8190.257931478765,capelin
ln_tauO,2.495122826058058,2.47281475820088,2,75930,1-000,8190.257931478765,capelin
ln_tauE,2.4760094040671055,2.460550750170964,2,75930,1-000,8190.257931478765,capelin
ln_kappa,-4.481140234499602,-4.5096919516601846,2,75930,1-000,8190.257931478765,capelin
ln_phi,-0.2822198315577172,-0.29064930174917075,2,75930,1-000,8190.257931478765,capelin
logit_rhoE,-1.508357337467413,-1.9522507175271748,2,75930,1-000,8190.257931478765,capelin
finv_power,-0.0661746743852703,-0.06404841815928564,2,75930,1-000,8190.257931478765,capelin
